AWB,HAWB,Flight_Number,ULD_Number,Origin,Destination,Booking_Date,SHC,Weight_kg,Length_cm,Width_cm,Height_cm,Preferred_ULD,Nature_Of_Goods,PCS,Temp_Required,Priority,Courier_Return,Completed,Consignee_Name
176-93648866,HWB201013,SV878,,MAA,FRA,2026-04-20,AVI,142.26,142,69,179,AKE,Pets,99,No,Medium,False,True,EMIRATES MEDICAL
176-56119311,HWB948802,SV980,,FRA,CDG,2026-04-18,BIG,2740.55,163,171,632,PMC,Oversized Machinery,98,No,High,False,True,SEAFOOD EXPRESS
176-14829304,HWB134455,SV281,,FRA,FRA,2026-04-15,PIL,128.64,60,178,134,"RAP,RKN,ALF",Vaccines,91,Yes,High,False,False,SKY LOGISTICS
176-86350455,HWB807814,SV602,,AMS,CDG,2026-04-04,PER,386.29,178,145,114,"RAP,PMC",Milk Products,70,Yes,Low,False,False,SKY LOGISTICS
176-60707149,HWB746908,SV792,,SIN,SYD,2026-04-19,DGR,75.08,73,88,263,PMC,Lithium Batteries,42,No,High,True,True,SKY LOGISTICS
176-93906615,HWB457833,SV489,,MAA,JFK,2026-04-01,PER,239.55,192,132,156,"RAP,PMC",Frozen Meat,46,Yes,Medium,False,True,FAST CARGO
176-18791292,HWB419723,SV217,,SIN,SIN,2026-04-03,GEN,272.89,219,167,104,"AKE,PMC",General Cargo,69,No,Medium,True,False,SEAFOOD EXPRESS
176-73042053,HWB716551,SV122,,SIN,JFK,2026-04-01,VAL,26.22,220,153,20,AKE,Luxury Watches,50,No,Medium,True,False,GLOBAL FOODS
176-99575241,HWB456032,SV270,,FRA,LHR,2026-04-17,COL,302.53,73,92,299,"RAP,RKN",Temperature Goods,56,Yes,High,False,True,FAST CARGO
176-63959197,HWB943687,SV331,,FRA,FRA,2026-04-19,PER,206.06,128,180,95,"RAP,PMC",Food Items,92,Yes,Low,True,False,EMIRATES MEDICAL
176-38150713,HWB464187,SV914,,MAA,FRA,2026-04-14,GEN,588.11,93,113,550,"AKE,PMC",Retail Goods,65,No,Medium,False,False,FAST CARGO
176-83492593,HWB289373,SV119,,AMS,FRA,2026-04-15,PIL,150.58,172,164,73,"RAP,RKN,ALF",Pharma,24,Yes,Low,False,True,WORLD FREIGHT
176-68213514,HWB693616,SV844,,AMS,DXB,2026-04-20,GEN,940.3,91,47,1353,"AKE,PMC",Textiles,26,No,Medium,False,True,FAST CARGO
176-68436893,HWB530189,SV426,,DOH,SYD,2026-04-28,GEN,759.11,221,101,353,"AKE,PMC",General Cargo,82,No,High,False,False,EMIRATES MEDICAL
176-64474404,HWB350067,SV216,,DXB,SIN,2026-04-08,BIG,1222.63,241,80,1149,PMC,Oversized Machinery,32,No,Medium,False,False,SEAFOOD EXPRESS
176-46602780,HWB243057,SV129,,SIN,SYD,2026-04-06,PIL,211.73,139,43,98,"RAP,RKN,ALF",Vaccines,85,Yes,Low,True,True,WORLD FREIGHT
176-90745350,HWB412453,SV987,,MAA,JFK,2026-04-11,GEN,102.56,201,144,313,"AKE,PMC",Retail Goods,86,No,Low,True,False,SKY LOGISTICS
176-26192377,HWB647312,SV780,,DOH,CDG,2026-04-30,GEN,156.34,83,97,945,"AKE,PMC",Textiles,33,No,Medium,True,True,GLOBAL FOODS
176-62338292,HWB944986,SV866,,AMS,SIN,2026-04-19,HEA,221.0,89,158,189,"PMC,PAG",Coffins,28,No,High,True,True,FAST CARGO
176-17506180,HWB614178,SV646,,SIN,FRA,2026-04-19,PER,275.79,90,79,284,"RAP,PMC",Food Items,41,Yes,Low,False,False,FAST CARGO
176-73783187,HWB850435,SV476,,DOH,LHR,2026-04-12,PER,451.77,187,114,222,"RAP,PMC",Food Items,83,Yes,Low,True,True,FAST CARGO
176-58701586,HWB951706,SV801,,MAA,CDG,2026-05-01,GEN,575.09,190,109,182,"AKE,PMC",General Cargo,57,No,Medium,True,False,EMIRATES MEDICAL
176-49919426,HWB320606,SV980,,DXB,JFK,2026-04-08,PER,136.1,166,163,158,"RAP,PMC",Milk Products,41,Yes,Low,False,True,EMIRATES MEDICAL
176-65426729,HWB982023,SV440,,AMS,JFK,2026-04-16,GEN,832.04,180,102,515,"AKE,PMC",General Cargo,21,No,Low,False,True,LUXURY EXPORTS
176-53858104,HWB575279,SV811,,MAA,SYD,2026-04-24,PIL,200.53,176,77,186,"RAP,RKN,ALF",Medicines,83,Yes,Low,True,False,SKY LOGISTICS
176-87283822,HWB186226,SV213,,DXB,SIN,2026-04-11,GEN,430.63,158,88,478,"AKE,PMC",Textiles,92,No,Low,True,False,LUXURY EXPORTS
176-33283960,HWB820861,SV707,,DOH,LHR,2026-04-09,PIL,169.59,213,170,64,"RAP,RKN,ALF",Vaccines,26,Yes,High,False,False,SKY LOGISTICS
176-86556525,HWB335391,SV121,,MAA,CDG,2026-04-29,PIL,269.1,94,57,533,"RAP,RKN,ALF",Pharma,79,Yes,Low,True,True,WORLD FREIGHT
176-63825994,HWB748024,SV539,,FRA,LHR,2026-04-02,GEN,298.69,130,146,456,"AKE,PMC",General Cargo,12,No,Medium,True,True,QATAR PHARMA
176-70895638,HWB967442,SV789,,LHR,DXB,2026-04-30,MAG,181.46,147,169,97,PMC,Magnetized Equipment,92,No,High,True,False,EMIRATES MEDICAL
176-37730181,HWB729232,SV320,,DOH,LHR,2026-04-28,EAT,396.5,128,40,347,"PMC,RAP",Dry Foods,87,No,High,False,True,SEAFOOD EXPRESS
176-92903638,HWB572883,SV354,,SIN,CDG,2026-04-08,GEN,77.33,132,116,639,"AKE,PMC",Textiles,83,No,Medium,True,True,WORLD FREIGHT
176-38483372,HWB847986,SV492,,AMS,JFK,2026-04-13,GEN,877.87,210,165,281,"AKE,PMC",Textiles,77,No,Medium,True,True,QATAR PHARMA
176-57553566,HWB735829,SV786,,DOH,CDG,2026-04-30,GEN,366.22,98,154,206,"AKE,PMC",Textiles,96,No,High,True,False,SEAFOOD EXPRESS
176-85102924,HWB143122,SV694,,DXB,LHR,2026-04-05,PER,491.01,197,163,114,"RAP,PMC",Food Items,65,Yes,Medium,False,False,SKY LOGISTICS
176-44951103,HWB222517,SV420,,MAA,SIN,2026-04-05,GEN,351.45,148,125,311,"AKE,PMC",Retail Goods,36,No,Low,False,False,EMIRATES MEDICAL
176-79386899,HWB428215,SV546,,DXB,LHR,2026-04-09,GEN,632.28,201,179,218,"AKE,PMC",Textiles,63,No,High,False,True,FAST CARGO
176-44926669,HWB271499,SV822,,LHR,JFK,2026-04-16,GEN,101.84,156,156,108,"AKE,PMC",General Cargo,64,No,High,False,False,WORLD FREIGHT
176-29871432,HWB229660,SV457,,MAA,SIN,2026-04-28,PIL,173.25,142,88,208,"RAP,RKN,ALF",Vaccines,24,Yes,High,False,True,QATAR PHARMA
176-20312681,HWB358114,SV886,,LHR,FRA,2026-04-30,DGR,395.08,238,101,54,PMC,Chemicals,43,No,High,False,True,SEAFOOD EXPRESS
176-53424580,HWB261245,SV129,,MAA,JFK,2026-04-27,PER,336.14,206,138,168,"RAP,PMC",Milk Products,85,Yes,Medium,False,False,QATAR PHARMA
176-70814320,HWB440698,SV849,,AMS,SYD,2026-05-01,PER,487.91,119,145,209,"RAP,PMC",Milk Products,17,Yes,High,True,False,LUXURY EXPORTS
176-61189424,HWB197046,SV508,,SIN,SIN,2026-04-20,GEN,756.61,71,121,689,"AKE,PMC",General Cargo,99,No,Medium,True,True,FAST CARGO
176-97787024,HWB261621,SV223,,SIN,JFK,2026-04-21,GEN,419.08,250,161,114,"AKE,PMC",Retail Goods,95,No,Medium,True,False,GLOBAL FOODS
176-62088494,HWB599583,SV374,,FRA,CDG,2026-04-29,PER,305.06,240,137,90,"RAP,PMC",Frozen Meat,12,Yes,Medium,False,True,SEAFOOD EXPRESS
176-72213255,HWB809298,SV329,,AMS,FRA,2026-04-11,BIG,2417.08,158,78,487,PMC,Oversized Machinery,64,No,Low,True,False,WORLD FREIGHT
176-29945631,HWB233997,SV800,,SIN,SYD,2026-04-10,PIL,69.8,186,49,274,"RAP,RKN,ALF",Medicines,67,Yes,Medium,False,True,GLOBAL FOODS
176-22681476,HWB587227,SV776,,AMS,CDG,2026-04-14,GEN,537.74,92,168,362,"AKE,PMC",Retail Goods,46,No,Medium,True,True,GLOBAL FOODS
176-62741841,HWB147457,SV185,,LHR,FRA,2026-04-06,EAT,496.95,211,124,79,"PMC,RAP",Snacks,41,No,Low,False,False,EMIRATES MEDICAL
176-38329117,HWB294078,SV180,,AMS,CDG,2026-04-06,PER,486.69,85,152,347,"RAP,PMC",Frozen Meat,87,Yes,High,False,True,QATAR PHARMA
176-71762034,HWB825411,SV514,,DOH,FRA,2026-04-16,PIL,79.17,85,174,62,"RAP,RKN,ALF",Pharma,78,Yes,Low,False,False,LUXURY EXPORTS
176-50621889,HWB191892,SV228,,DXB,DXB,2026-04-13,COL,302.14,176,43,405,"RAP,RKN",Cool Cargo,15,Yes,High,True,True,FAST CARGO
176-94028236,HWB999876,SV908,,FRA,SIN,2026-04-14,DGR,341.88,244,76,184,PMC,Chemicals,39,No,Medium,True,False,SEAFOOD EXPRESS
176-69762583,HWB608608,SV582,,MAA,SYD,2026-04-24,GEN,160.64,164,79,703,"AKE,PMC",Retail Goods,75,No,High,True,False,SEAFOOD EXPRESS
176-67953597,HWB535878,SV968,,LHR,FRA,2026-04-28,GEN,367.16,79,160,151,"AKE,PMC",Textiles,77,No,Low,False,True,WORLD FREIGHT
176-75485030,HWB343170,SV831,,MAA,CDG,2026-04-20,PIL,171.53,127,126,123,"RAP,RKN,ALF",Medicines,55,Yes,Low,False,True,EMIRATES MEDICAL
176-93576934,HWB777568,SV455,,LHR,FRA,2026-04-16,BIG,2377.12,219,141,545,PMC,Industrial Equipment,3,No,High,False,True,WORLD FREIGHT
176-55520344,HWB731347,SV973,,DOH,FRA,2026-04-19,PER,275.24,226,60,223,"RAP,PMC",Milk Products,60,Yes,High,False,False,SEAFOOD EXPRESS
176-31746728,HWB752048,SV312,,SIN,FRA,2026-04-16,COL,295.75,144,176,82,"RAP,RKN",Cool Cargo,86,Yes,Medium,True,True,FAST CARGO
176-76266658,HWB418402,SV340,,DXB,CDG,2026-04-14,GEN,625.46,157,121,100,"AKE,PMC",General Cargo,3,No,Medium,False,False,SKY LOGISTICS
176-18545050,HWB454140,SV540,,MAA,CDG,2026-04-02,GEN,836.55,220,164,250,"AKE,PMC",General Cargo,16,No,Low,True,False,EMIRATES MEDICAL
176-84762274,HWB380484,SV254,,DOH,FRA,2026-04-25,PER,413.95,198,49,420,"RAP,PMC",Milk Products,78,Yes,Low,True,True,WORLD FREIGHT
176-91949659,HWB739270,SV900,,DOH,DXB,2026-04-04,PIL,290.66,218,57,192,"RAP,RKN,ALF",Pharma,6,Yes,Low,True,True,GLOBAL FOODS
176-69259530,HWB898977,SV618,,LHR,FRA,2026-04-10,GEN,915.44,120,113,177,"AKE,PMC",General Cargo,20,No,Low,False,False,SKY LOGISTICS
176-10884169,HWB357232,SV954,,DOH,JFK,2026-04-14,GEN,856.17,118,63,665,"AKE,PMC",Retail Goods,37,No,Low,True,True,EMIRATES MEDICAL
176-99254152,HWB357374,SV255,,DOH,SYD,2026-04-21,PER,386.08,171,65,239,"RAP,PMC",Milk Products,54,Yes,High,True,False,SEAFOOD EXPRESS
176-58556533,HWB131208,SV553,,DXB,SYD,2026-04-17,PIL,274.52,222,65,199,"RAP,RKN,ALF",Medicines,92,Yes,Low,True,True,LUXURY EXPORTS
176-18250139,HWB512369,SV877,,MAA,FRA,2026-04-14,PER,260.66,173,82,288,"RAP,PMC",Milk Products,20,Yes,Low,True,False,SEAFOOD EXPRESS
176-50845544,HWB856601,SV860,,SIN,LHR,2026-04-28,PIL,271.45,237,116,81,"RAP,RKN,ALF",Medicines,36,Yes,Low,True,False,WORLD FREIGHT
176-92971716,HWB783710,SV552,,AMS,LHR,2026-04-26,BIG,1423.1,67,51,5446,PMC,Industrial Equipment,100,No,High,False,True,QATAR PHARMA
176-26912191,HWB645752,SV653,,SIN,SIN,2026-04-24,VAL,17.39,143,54,50,AKE,Gold,66,No,Low,False,False,SKY LOGISTICS
176-44720808,HWB353063,SV952,,DOH,LHR,2026-04-19,GEN,76.5,135,131,461,"AKE,PMC",Textiles,55,No,Low,True,True,LUXURY EXPORTS
176-97370696,HWB230809,SV559,,SIN,CDG,2026-04-02,GEN,645.64,155,150,180,"AKE,PMC",Textiles,1,No,Medium,False,True,FAST CARGO
176-86875315,HWB805097,SV243,,AMS,JFK,2026-04-27,PER,219.68,97,102,370,"RAP,PMC",Milk Products,95,Yes,High,True,False,FAST CARGO
176-67135430,HWB968679,SV521,,MAA,DXB,2026-04-23,HEA,154.19,195,145,77,"PMC,PAG",Human Remains,55,No,High,False,True,WORLD FREIGHT
176-85023475,HWB644153,SV897,,LHR,SYD,2026-04-19,GEN,400.83,204,86,327,"AKE,PMC",Retail Goods,75,No,Medium,False,False,WORLD FREIGHT
176-77885433,HWB233299,SV596,,AMS,JFK,2026-04-05,EAT,683.96,103,84,686,"PMC,RAP",Packed Food,91,No,Low,True,True,WORLD FREIGHT
176-59570909,HWB224535,SV716,,DOH,JFK,2026-04-18,DGR,64.67,80,137,110,PMC,Chemicals,16,No,Medium,False,True,SKY LOGISTICS
176-49457501,HWB609529,SV128,,DOH,SIN,2026-04-10,GEN,402.89,218,101,450,"AKE,PMC",General Cargo,76,No,Medium,True,False,EMIRATES MEDICAL
176-26418573,HWB674134,SV457,,MAA,SYD,2026-04-01,GEN,223.92,187,76,538,"AKE,PMC",General Cargo,54,No,Medium,False,False,LUXURY EXPORTS
176-27825403,HWB898963,SV241,,FRA,FRA,2026-04-20,PER,290.09,119,158,206,"RAP,PMC",Frozen Meat,98,Yes,Medium,False,True,LUXURY EXPORTS
176-61973818,HWB344131,SV504,,SIN,CDG,2026-04-14,GEN,809.82,223,105,298,"AKE,PMC",General Cargo,86,No,Medium,False,True,SKY LOGISTICS
176-51452887,HWB688297,SV760,,MAA,FRA,2026-04-25,MAG,56.2,177,105,111,PMC,Magnetized Equipment,25,No,Low,True,True,WORLD FREIGHT
176-81384965,HWB288474,SV119,,SIN,SYD,2026-04-30,DGR,453.59,230,42,107,PMC,Chemicals,32,No,Low,False,True,LUXURY EXPORTS
176-13122340,HWB456470,SV547,,DXB,JFK,2026-04-30,PIL,197.22,179,113,85,"RAP,RKN,ALF",Medicines,68,Yes,Medium,False,False,GLOBAL FOODS
176-29331950,HWB291542,SV361,,DOH,DXB,2026-04-10,GEN,980.8,233,179,140,"AKE,PMC",General Cargo,40,No,Medium,True,True,LUXURY EXPORTS
176-23253224,HWB435587,SV245,,LHR,LHR,2026-04-13,GEN,75.81,100,58,263,"AKE,PMC",Retail Goods,49,No,High,True,True,FAST CARGO
176-77702274,HWB503752,SV217,,SIN,DXB,2026-04-17,EAT,458.2,173,128,109,"PMC,RAP",Snacks,60,No,Low,False,True,WORLD FREIGHT
176-12499514,HWB382234,SV667,,FRA,FRA,2026-04-29,GEN,437.12,210,116,127,"AKE,PMC",General Cargo,32,No,Low,True,False,SEAFOOD EXPRESS
176-29108179,HWB491438,SV653,,DXB,SYD,2026-04-07,PIL,70.98,223,148,63,"RAP,RKN,ALF",Medicines,69,Yes,Medium,False,True,QATAR PHARMA
176-32465588,HWB100569,SV161,,LHR,LHR,2026-04-21,PIL,290.28,236,104,83,"RAP,RKN,ALF",Pharma,33,Yes,Low,False,False,FAST CARGO
176-81684250,HWB690433,SV171,,SIN,DXB,2026-04-06,AVI,171.32,176,117,117,AKE,Birds,90,No,High,True,False,SEAFOOD EXPRESS
176-55987725,HWB766023,SV367,,DOH,FRA,2026-04-11,GEN,629.92,110,138,633,"AKE,PMC",Retail Goods,35,No,High,False,False,FAST CARGO
176-27948365,HWB777844,SV102,,FRA,JFK,2026-04-30,PIL,289.75,183,67,107,"RAP,RKN,ALF",Medicines,2,Yes,Low,True,False,WORLD FREIGHT
176-97120361,HWB782902,SV179,,FRA,DXB,2026-04-29,EAT,335.67,120,137,90,"PMC,RAP",Dry Foods,57,No,Low,True,False,SEAFOOD EXPRESS
176-11131640,HWB230824,SV573,,SIN,SIN,2026-04-25,AVI,84.43,206,131,70,AKE,Birds,2,No,High,True,False,LUXURY EXPORTS
176-39681939,HWB345637,SV605,,SIN,DXB,2026-04-10,GEN,135.47,207,115,273,"AKE,PMC",Retail Goods,64,No,Low,True,True,FAST CARGO
176-77152570,HWB618008,SV274,,FRA,SIN,2026-04-19,BIG,2282.39,239,115,973,PMC,Oversized Machinery,9,No,Low,True,True,SKY LOGISTICS
176-80206603,HWB864305,SV901,,SIN,SIN,2026-04-29,GEN,936.89,65,141,949,"AKE,PMC",Textiles,3,No,Low,False,False,QATAR PHARMA
176-53352227,HWB553559,SV964,,LHR,LHR,2026-04-02,PIL,210.24,130,42,523,"RAP,RKN,ALF",Medicines,88,Yes,Low,False,False,LUXURY EXPORTS
176-16303488,HWB391433,SV530,,FRA,JFK,2026-04-08,DGR,391.56,204,52,422,PMC,Lithium Batteries,1,No,Medium,True,False,GLOBAL FOODS
176-66884191,HWB178056,SV355,,DXB,SIN,2026-04-08,AVI,165.38,215,167,165,AKE,Birds,40,No,High,True,True,WORLD FREIGHT
176-54869326,HWB981336,SV356,,DXB,DXB,2026-04-21,PIL,252.01,133,98,151,"RAP,RKN,ALF",Vaccines,31,Yes,Medium,True,False,FAST CARGO
176-22840710,HWB755725,SV557,,FRA,DXB,2026-04-25,GEN,786.96,215,130,235,"AKE,PMC",General Cargo,8,No,High,False,False,GLOBAL FOODS
176-50462762,HWB740405,SV741,,LHR,DXB,2026-04-02,GEN,108.9,116,88,805,"AKE,PMC",General Cargo,87,No,High,True,False,SEAFOOD EXPRESS
176-90473708,HWB925727,SV775,,FRA,DXB,2026-04-08,PIL,73.96,218,104,104,"RAP,RKN,ALF",Vaccines,50,Yes,Medium,False,True,LUXURY EXPORTS
176-79419139,HWB444136,SV701,,DXB,DXB,2026-04-15,BIG,4719.13,233,75,1406,PMC,Oversized Machinery,2,No,Low,True,True,SKY LOGISTICS
176-93329195,HWB566222,SV290,,DXB,SIN,2026-04-16,BIG,2790.04,220,64,985,PMC,Oversized Machinery,8,No,High,False,False,LUXURY EXPORTS
176-29784909,HWB592331,SV416,,FRA,LHR,2026-04-05,PER,333.47,220,50,287,"RAP,PMC",Frozen Meat,48,Yes,High,True,True,FAST CARGO
176-66648087,HWB460517,SV300,,DXB,FRA,2026-04-02,DGR,418.63,139,152,142,PMC,Chemicals,9,No,Medium,True,False,WORLD FREIGHT
176-55051587,HWB746030,SV406,,LHR,LHR,2026-04-19,AVI,144.63,68,133,581,AKE,Dogs,14,No,Medium,True,False,FAST CARGO
176-93741127,HWB323491,SV344,,LHR,FRA,2026-04-15,GEN,656.83,247,73,401,"AKE,PMC",Retail Goods,95,No,Medium,True,False,SKY LOGISTICS
176-84449447,HWB220784,SV245,,SIN,JFK,2026-04-01,GEN,394.68,83,115,173,"AKE,PMC",General Cargo,81,No,Low,False,True,QATAR PHARMA
176-45164890,HWB853754,SV278,,SIN,SYD,2026-04-29,GEN,237.93,143,146,123,"AKE,PMC",Textiles,32,No,High,True,True,SKY LOGISTICS
176-28420515,HWB497329,SV770,,DOH,DXB,2026-04-22,GEN,915.12,104,91,125,"AKE,PMC",Retail Goods,27,No,Medium,False,True,LUXURY EXPORTS
176-93644995,HWB554786,SV999,,AMS,DXB,2026-04-26,PER,364.36,93,178,287,"RAP,PMC",Food Items,19,Yes,High,True,True,SEAFOOD EXPRESS
176-42822896,HWB148439,SV881,,FRA,CDG,2026-04-21,COL,212.28,153,175,104,"RAP,RKN",Cool Cargo,69,Yes,Medium,True,False,FAST CARGO
176-78218774,HWB712454,SV600,,DXB,FRA,2026-04-05,GEN,647.99,188,109,171,"AKE,PMC",General Cargo,61,No,Low,True,True,SEAFOOD EXPRESS
176-76919318,HWB644098,SV575,,DXB,LHR,2026-04-12,EAT,629.45,102,105,514,"PMC,RAP",Dry Foods,48,No,Low,False,False,WORLD FREIGHT
176-88380820,HWB781298,SV137,,DXB,SIN,2026-04-26,GEN,602.13,183,115,320,"AKE,PMC",General Cargo,58,No,High,False,True,EMIRATES MEDICAL
176-60211839,HWB366893,SV663,,MAA,SIN,2026-04-30,PIL,272.18,146,69,191,"RAP,RKN,ALF",Medicines,38,Yes,Medium,False,True,QATAR PHARMA
176-72753631,HWB553515,SV518,,SIN,SYD,2026-04-15,PIL,178.07,179,59,126,"RAP,RKN,ALF",Vaccines,41,Yes,Medium,False,True,SKY LOGISTICS
176-21062025,HWB408824,SV962,,FRA,CDG,2026-04-12,PIL,108.45,96,97,226,"RAP,RKN,ALF",Pharma,83,Yes,High,False,True,GLOBAL FOODS
176-54796219,HWB306198,SV791,,SIN,LHR,2026-04-07,GEN,117.78,233,141,40,"AKE,PMC",Retail Goods,96,No,Low,False,True,SKY LOGISTICS
176-11145397,HWB907483,SV406,,SIN,SYD,2026-04-09,EAT,529.71,202,133,158,"PMC,RAP",Snacks,52,No,Medium,True,False,SKY LOGISTICS
176-73678024,HWB345076,SV628,,FRA,SYD,2026-04-07,PIL,106.89,83,141,197,"RAP,RKN,ALF",Pharma,97,Yes,Medium,False,False,GLOBAL FOODS
176-66061116,HWB319765,SV549,,LHR,SYD,2026-05-01,PER,438.32,63,107,403,"RAP,PMC",Milk Products,4,Yes,Medium,True,True,EMIRATES MEDICAL
176-57601987,HWB456329,SV330,,LHR,JFK,2026-04-27,EAT,105.81,197,71,418,"PMC,RAP",Dry Foods,97,No,Medium,False,False,QATAR PHARMA
176-54325475,HWB695791,SV744,,DOH,CDG,2026-04-05,VAL,39.48,176,134,20,AKE,Luxury Watches,74,No,Medium,False,True,SEAFOOD EXPRESS
176-54136340,HWB697179,SV562,,AMS,LHR,2026-04-04,GEN,557.77,232,107,108,"AKE,PMC",General Cargo,22,No,High,True,True,WORLD FREIGHT
176-61793831,HWB397604,SV310,,DXB,LHR,2026-05-01,GEN,227.36,209,137,56,"AKE,PMC",Textiles,68,No,High,False,True,LUXURY EXPORTS
176-65144861,HWB510103,SV260,,MAA,SIN,2026-04-30,DGR,54.97,223,135,65,PMC,Lithium Batteries,62,No,Low,True,False,FAST CARGO
176-99226958,HWB597842,SV262,,FRA,CDG,2026-04-27,GEN,876.93,87,99,440,"AKE,PMC",Retail Goods,76,No,High,False,False,FAST CARGO
176-63584671,HWB734229,SV926,,DXB,CDG,2026-04-27,GEN,991.53,180,46,605,"AKE,PMC",Retail Goods,73,No,Medium,False,False,QATAR PHARMA
176-71244438,HWB463627,SV817,,DOH,FRA,2026-04-30,EAT,154.66,218,123,181,"PMC,RAP",Snacks,51,No,Low,True,False,FAST CARGO
176-61628861,HWB791095,SV287,,AMS,CDG,2026-04-15,GEN,904.97,216,96,366,"AKE,PMC",General Cargo,51,No,Low,True,True,SKY LOGISTICS
176-18958209,HWB831952,SV843,,AMS,SIN,2026-04-22,PER,453.02,225,56,250,"RAP,PMC",Frozen Meat,53,Yes,Low,True,False,GLOBAL FOODS
176-65042162,HWB572840,SV268,,SIN,SIN,2026-04-11,EAT,163.13,222,158,159,"PMC,RAP",Dry Foods,6,No,Medium,True,True,WORLD FREIGHT
176-63240727,HWB139609,SV110,,SIN,DXB,2026-04-07,PER,237.46,239,117,92,"RAP,PMC",Milk Products,18,Yes,Medium,False,False,WORLD FREIGHT
176-68750274,HWB247068,SV582,,DOH,LHR,2026-04-23,GEN,128.42,226,144,212,"AKE,PMC",General Cargo,22,No,High,True,True,EMIRATES MEDICAL
176-11504663,HWB810287,SV379,,DXB,JFK,2026-04-03,GEN,557.92,89,75,677,"AKE,PMC",Retail Goods,23,No,High,True,True,WORLD FREIGHT
176-96035199,HWB794723,SV833,,AMS,DXB,2026-04-17,COL,114.33,71,49,833,"RAP,RKN",Temperature Goods,89,Yes,Medium,False,True,QATAR PHARMA
176-43514137,HWB492843,SV344,,DXB,DXB,2026-04-30,GEN,783.79,137,166,347,"AKE,PMC",General Cargo,54,No,High,True,False,FAST CARGO
176-22965862,HWB935635,SV955,,DOH,FRA,2026-04-29,COL,300.68,89,64,291,"RAP,RKN",Cool Cargo,93,Yes,High,True,False,GLOBAL FOODS
176-37799083,HWB668016,SV504,,LHR,DXB,2026-04-20,PER,229.07,120,177,165,"RAP,PMC",Food Items,28,Yes,High,False,False,SKY LOGISTICS
176-38557229,HWB581061,SV325,,MAA,FRA,2026-04-13,GEN,432.03,94,139,294,"AKE,PMC",Retail Goods,84,No,Low,False,True,GLOBAL FOODS
176-23665188,HWB847143,SV649,,DOH,SYD,2026-04-16,GEN,440.54,176,134,335,"AKE,PMC",Textiles,22,No,Medium,True,False,SEAFOOD EXPRESS
176-54566533,HWB283847,SV750,,DOH,FRA,2026-04-05,COL,377.37,231,178,80,"RAP,RKN",Temperature Goods,86,Yes,Medium,True,False,QATAR PHARMA
176-95978796,HWB877848,SV338,,FRA,CDG,2026-04-17,AVI,184.18,167,79,245,AKE,Pets,2,No,High,True,True,EMIRATES MEDICAL
176-20655497,HWB162833,SV240,,SIN,JFK,2026-04-20,GEN,751.02,166,65,724,"AKE,PMC",Retail Goods,26,No,High,False,True,QATAR PHARMA
176-69555922,HWB875165,SV998,,SIN,SIN,2026-05-01,GEN,927.24,185,144,239,"AKE,PMC",Retail Goods,41,No,Low,True,False,EMIRATES MEDICAL
176-56000229,HWB354016,SV310,,FRA,DXB,2026-04-11,EAT,114.22,131,48,966,"PMC,RAP",Dry Foods,32,No,Low,True,False,LUXURY EXPORTS
176-75987111,HWB173384,SV297,,MAA,FRA,2026-04-28,GEN,470.24,236,134,33,"AKE,PMC",General Cargo,27,No,High,True,True,FAST CARGO
176-51803852,HWB272132,SV838,,DXB,SIN,2026-04-15,GEN,532.05,115,153,275,"AKE,PMC",Retail Goods,23,No,Low,True,False,EMIRATES MEDICAL
176-74581639,HWB183902,SV468,,LHR,JFK,2026-04-09,AVI,100.69,173,100,241,AKE,Dogs,61,No,Medium,False,False,SKY LOGISTICS
176-21171324,HWB895720,SV407,,FRA,CDG,2026-04-28,DGR,58.91,152,65,224,PMC,Chemicals,71,No,Low,True,False,SEAFOOD EXPRESS
176-91339346,HWB604201,SV173,,SIN,SIN,2026-04-18,PIL,126.46,235,134,38,"RAP,RKN,ALF",Pharma,61,Yes,High,True,True,QATAR PHARMA
176-75961801,HWB524206,SV525,,LHR,FRA,2026-04-12,GEN,868.57,199,131,290,"AKE,PMC",Retail Goods,50,No,Medium,False,True,SEAFOOD EXPRESS
176-85914700,HWB270249,SV298,,DOH,JFK,2026-04-30,GEN,992.85,75,141,200,"AKE,PMC",Retail Goods,99,No,Low,False,False,LUXURY EXPORTS
176-43123836,HWB354125,SV589,,MAA,SYD,2026-04-14,COL,117.31,130,88,188,"RAP,RKN",Temperature Goods,81,Yes,Low,True,True,EMIRATES MEDICAL
176-43207452,HWB731399,SV692,,AMS,SYD,2026-04-09,AVI,101.98,91,156,310,AKE,Dogs,2,No,High,True,False,SEAFOOD EXPRESS
176-35343427,HWB543489,SV269,,DOH,JFK,2026-04-17,MAG,196.54,83,94,352,PMC,Magnetized Equipment,89,No,Medium,False,False,SEAFOOD EXPRESS
176-24666517,HWB767083,SV686,,DOH,SYD,2026-04-03,EAT,625.84,224,45,532,"PMC,RAP",Snacks,19,No,Medium,True,False,EMIRATES MEDICAL
176-23001760,HWB173234,SV892,,AMS,JFK,2026-04-01,GEN,987.67,72,125,927,"AKE,PMC",Textiles,54,No,Low,False,False,SKY LOGISTICS
176-75293067,HWB290824,SV614,,MAA,JFK,2026-04-07,GEN,405.92,122,72,835,"AKE,PMC",Textiles,28,No,High,True,True,SKY LOGISTICS
